تاریخ	        اذان صبح	طلوع	    اذان ظهر	  غروب	   اذان مغرب	نیمه شب
١٧ اردیبهشت ١٤٠٢	٠٣:٤٥:٥٤	٠٥:٠٩:٥١	١١:٥٠:٠١	١٨:٣٠:٣٣	١٨:٤٨:١٥	٢٣:٠٧:٤٥
١٨ اردیبهشت ١٤٠٢	٠٣:٤٤:٥٨	٠٥:٠٩:٠٨	١١:٤٩:٥٧	١٨:٣١:٠٨	١٨:٤٨:٥٣	٢٣:٠٧:٣٥
١٩ اردیبهشت ١٤٠٢	٠٣:٤٤:٠٢	٠٥:٠٨:٢٦	١١:٤٩:٥٤	١٨:٣١:٤٣	١٨:٤٩:٣٠	٢٣:٠٧:٢٥
٢٠ اردیبهشت ١٤٠٢	٠٣:٤٣:٠٨	٠٥:٠٧:٤٦	١١:٤٩:٥٢	١٨:٣٢:١٨	١٨:٥٠:٠٧	٢٣:٠٧:١٦
٢١ اردیبهشت ١٤٠٢	٠٣:٤٢:١٤	٠٥:٠٧:٠٦	١١:٤٩:٤٩	١٨:٣٢:٥٣	١٨:٥٠:٤٤	٢٣:٠٧:٠٨
٢٢ اردیبهشت ١٤٠٢	٠٣:٤١:٢٢	٠٥:٠٦:٢٨	١١:٤٩:٤٨	١٨:٣٣:٢٨	١٨:٥١:٢١	٢٣:٠٧:٠٠
٢٣ اردیبهشت ١٤٠٢	٠٣:٤٠:٣١	٠٥:٠٥:٥١	١١:٤٩:٤٧	١٨:٣٤:٠٣	١٨:٥١:٥٩	٢٣:٠٦:٥٢
٢٤ اردیبهشت ١٤٠٢	٠٣:٣٩:٤٢	٠٥:٠٥:١٦	١١:٤٩:٤٧	١٨:٣٤:٣٨	١٨:٥٢:٣٦	٢٣:٠٦:٤٦
٢٥ اردیبهشت ١٤٠٢	٠٣:٣٨:٥٣	٠٥:٠٤:٤١	١١:٤٩:٤٧	١٨:٣٥:١٣	١٨:٥٣:١٣	٢٣:٠٦:٤٠
٢٦ اردیبهشت ١٤٠٢	٠٣:٣٨:٠٦	٠٥:٠٤:٠٨	١١:٤٩:٤٨	١٨:٣٥:٤٨	١٨:٥٣:٥٠	٢٣:٠٦:٣٤
